country,cpi_2011,rank_2011,surveys_2011,standard_deviation_2011
Sri Lanka,3.3,86,8,0.23
Bosnia and Herzegovina,3.2,91,6,0.12
Liberia,3.2,91,6,0.34
Trinidad and Tobago,3.2,91,5,0.32
Zambia,3.2,91,8,0.31
Albania,3.1,95,8,0.18
India,3.1,95,13,0.12
Kiribati,3.1,95,3,0.56
Swaziland,3.1,95,5,0.08
Tonga,3.1,95,3,0.17
Argentina,3,100,10,0.21
Benin,3,100,7,0.18
Burkina Faso,3,100,7,0.31
Djibouti,3,100,3,0.59
Gabon,3,100,4,0.29
Indonesia,3,100,12,0.27
Madagascar,3,100,7,0.4
Malawi,3,100,8,0.18
Mexico,3,100,11,0.13
Sao Tome & Principe,3,100,3,0.19
Suriname,3,100,3,0.37
Tanzania,3,100,8,0.18
Algeria,2.9,112,7,0.16
Egypt,2.9,112,7,0.21
Kosovo,2.9,112,3,0.1
Moldova,2.9,112,8,0.13
Senegal,2.9,112,10,0.15
Vietnam,2.9,112,11,0.17
Bolivia,2.8,118,7,0.18
Mali,2.8,118,7,0.2
Bangladesh,2.7,120,9,0.34
Ecuador,2.7,120,6,0.22
Ethiopia,2.7,120,9,0.18
Guatemala,2.7,120,7,0.19
Iran,2.7,120,7,0.35
Kazakhstan,2.7,120,9,0.37
Mongolia,2.7,120,8,0.13
Mozambique,2.7,120,8,0.16
Solomon Islands,2.7,120,3,0.28
Armenia,2.6,129,8,0.16
Dominican Republic,2.6,129,7,0.19
Honduras,2.6,129,7,0.19
Philippines,2.6,129,12,0.19
Syria,2.6,129,6,0.16
Cameroon,2.5,134,9,0.19
Eritrea,2.5,134,4,0.56
Guyana,2.5,134,5,0.1
Lebanon,2.5,134,7,0.15
Maldives,2.5,134,3,0.15
Nicaragua,2.5,134,7,0.21
Niger,2.5,134,5,0.17
Pakistan,2.5,134,10,0.13
Sierra Leone,2.5,134,6,0.15
Azerbaijan,2.4,143,8,0.19
Belarus,2.4,143,4,0.1
Comoros,2.4,143,3,0.37
Mauritania,2.4,143,6,0.18
Nigeria,2.4,143,10,0.14
Russia,2.4,143,11,0.22
Timor-Leste,2.4,143,5,0.26
Togo,2.4,143,5,0.08
Uganda,2.4,143,9,0.13
Tajikistan,2.3,152,7,0.28
Ukraine,2.3,152,10,0.1
Central African Republic,2.2,154,4,0.05
Congo  Republic,2.2,154,6,0.1
Côte d´Ivoire,2.2,154,8,0.15
Guinea-Bissau,2.2,154,4,0.1
Kenya,2.2,154,9,0.12
Laos,2.2,154,4,0.16
Nepal,2.2,154,6,0.1
Papua New Guinea,2.2,154,6,0.16
Paraguay,2.2,154,6,0.17
Zimbabwe,2.2,154,8,0.37
Cambodia,2.1,164,10,0.15
Guinea,2.1,164,6,0.11
Kyrgyzstan,2.1,164,8,0.09
Yemen,2.1,164,6,0.12
Angola,2,168,8,0.1
Chad,2,168,6,0.05
Democratic Republic of the Congo ,2,168,5,0.09
Libya,2,168,6,0.13
Burundi,1.9,172,6,0.14
Equatorial Guinea,1.9,172,3,0.07
Venezuela,1.9,172,9,0.1
Haiti,1.8,175,5,0.14
Iraq,1.8,175,4,0.09
Sudan,1.6,177,6,0.08
Turkmenistan,1.6,177,3,0.12
Uzbekistan,1.6,177,6,0.11
Afghanistan,1.5,180,4,0.1
Myanmar,1.5,180,4,0.26
Korea (North),1,182,3,0.24
Somalia,1,182,4,0.23
